

 ********* 2018-05-06 18:50:41 Duration: 00:00:15 *********
---------- SCRIPT CALLS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
  millisec    microsec    microsec    microsec
         5          34          65          29        151  cwt_do.api.beforeAddItemHandler
         5           2          22           0      2,175  cwt_dict.isOneOf
         5       5,143       5,143       5,143          1  cwt_do.api.orderClassUI.loadItemsFromServiceRegistry
         5       5,117       5,117       5,117          1  cwt_on_cim_ext.getExistingAccountServices
         5           6          62           5        776  performanceUtils.putObject
         4          32         159          24        151  cwl_on.mapOnExtendedOrderItem2DoOrderItem.action-770072745.cwOnItemConversion
         4           2          43           0      2,138  eoc_commons.isFault
         4           6          24           3        775  cwt_do.doCatalogTypeConfig.getProductTypes
         4          31          68          16        151  cwl_on.getRelatedItemsFromItem
         4       4,677       4,677       4,677          1  cwt_sr.getProductHelper
         4       4,633       4,633       4,633          1  cwtsr_Lib.getProduct
         4          30         230          20        150  checkCommunityPO/$g/1368158400
         4       4,480       4,480       4,480          1  cwtsr_Lib.productsFinder.cwOnFinderSel
         4          29         209          22        152  cwl_on.getRelatedObjectsFromItem
         4         849         879         816          5  cwl_dbqueue.getNextMessage
         4           3          17           1      1,247  cwt_do.doCatalogTypeConfig.getServiceTypes
         4          27          37          22        151  cwt_do.api.orderClassUI.validateAndSetProductCharacteristics
         3          24          57          22        151  cwt_do.setTreeCharacteristics
         3           3          10           2        926  cwt_do.api.mapBasketItemDoc2OrderItem.units--412012054.cwOnItemConversion
         3           0          53           0     24,650  com.conceptwave.system.DataStructure.onInit
         3       1,630       1,661       1,600          2  cwtsr_cacheLib.getProductsItemsBufferForCustomer
         3       1,616       1,644       1,588          2  cwtsr_cacheLib.getFullProductsAssociationsByCustomerId
         3          10         112           5        302  cwt_do.api.orderClassUI.getAccount
         2       2,862       2,862       2,862          1  cwt_do.readOrderByIdFromCache
         2          18         204          11        153  cwt_do.doCatalogTypeConfig.isResource
         2       2,435       2,435       2,435          1  cwl_security.getUserByKey
         2       2,427       2,427       2,427          1  cwl_security.getUserProfile
         2          15         131          10        151  cwt_do.api.orderClassUI.persistOrderItemRelatedObjects
         2           7         143           2        302  cwt_do.api.orderClassUI.getDefaultCustomerId
         2          15         109          10        151  cwt_do.ClsDataOrderHelperUI.addParent2ChildIncludeRelation
         2           7          78           4        302  cwt_do.api.orderClassUI.getSite
         2           1          14           0      1,539  cwt_do.Constants
         2          14         164          10        151  cwt_do.ClsDataOrderHelperUI.getObjectByGUID
         2           1         123           0      2,023  cwt_do.ClsDataOrderHelperUI.getConfig
         2          14         212           9        150  communityPO_isValid/$g/1368158400
         2       2,178       2,178       2,178          1  cwl_on.updateReferenceRequestId
         1           2           9           1        828  cwt_do.api.orderClassUI.setType
         1       1,918       1,918       1,918          1  cwl_on.resourceValidationON
         1          11          89           5        152  eoc_commons.getResourceURI
         1           1           5           1        926  cwt_do.api.mapBasketItemDoc2OrderItem.amount--269981095.cwOnItemConversion
         1         379         770         211          4  cwt_do.api.orderClassUI.addRelatedObject
         1         172         483          37          8  cwt_do.new_cwt_do.dataOrder.cwOnOrdVisualKey
