

 ********* 2018-05-08 13:01:57 Duration: 00:00:23 *********
---------- SCRIPT CALLS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
        69      23,267      53,525       6,231          3  cwl_security.getGroupPrivilegesByKey
        69          89       5,547          40        775  cwt_do.getInitialState
        66      22,237      50,503       6,215          3  cwl_security.getGroupPrivileges
        64      16,073      52,024         124          4  cwt_do.new_cwt_do.dataOrder.saveOrder
        61      61,351      61,351      61,351          1  checkBasicPO/$g/1368158400
        59          76       1,772          26        775  cwt_do.getOwnertPO
        52      52,665      52,665      52,665          1  on.service.validateRequestElements
        51           0         189           0    121,978  security.data.privilege.cwGetStructId
        50      50,756      50,756      50,756          1  isBasicPO/$g/1368158400
        46         304      23,293         120        153  cwt_do.getCatalogHelper
        46      46,024      46,024      46,024          1  cwtsr_cacheLib.updateOnDemand
        42          45       2,939          15        926  cwt_do.api.orderClassUI.findRelatedObjectsBySource
        42      21,085      40,437       1,734          2  cwtsr_cacheLib.getProductsItemsBufferForCustomer
        41           8         564           3      4,650  eoc_commons.Constants
        39      19,666      37,630       1,702          2  cwtsr_cacheLib.getFullProductsAssociationsByCustomerId
        38      38,662      38,662      38,662          1  cwt_do.ClsDataOrderHelperUI.recalculateCalculatedValuesInBasket
        34      34,429      34,429      34,429          1  cwt_do.getOrderById
        34         220      15,275          64        155  cwt_do.getClsInterface
        33          10       1,900           0      3,008  eoc_commons.checkBaseCatalogItemType
        30      15,073      24,912       5,234          2  cwt_do.ClsDataOrderHelperUI.loadItems
        28         186       3,216          96        151  dataorder.service.afterAddOrderItem
        27      13,748      27,114         381          2  cwt_do.ClsDataOrderHelperUI.onInit
        26      13,011      24,413       1,608          2  cwt_do.ClsDataOrderHelperUI.remapGUIDs
        25      12,804      25,242         365          2  cwt_do.ClsDataOrderHelperUI.initGlobalVariables
        23      23,815      23,815      23,815          1  cwl_on.resourceValidationON
        22         150       2,716          79        151  cwl_fullStack.afterAddItemHandler
        21      10,605      20,754         456          2  cwt_do.cloneBasket
        20      20,299      20,299      20,299          1  cwl_security.getUserByKey
        20          21       1,652           3        926  cwt_do.api.orderClassUI.mapPOOIDocNotesToOrderItem
        19          14       1,641           2      1,376  cwt_do.ClsDataOrderHelperUI.getObjectById
        19      19,586      19,586      19,586          1  security.getUserPreferenceByKey
        19       3,837      15,247          90          5  api_common.putObjectInCache
        18      18,279      18,279      18,279          1  cwl_security.getUserProfile
        17          22       2,051           9        775  cwt_do.doCatalogTypeConfig.isProduct
        16       3,389       7,743       1,403          5  cwl_om.scheduledOrderProcess.start.evaluate.cwOnProcActBefore
        16         112      11,072          25        150  checkCommunityPO/$g/1368158400
        16      16,678      16,678      16,678          1  cwt_do.readOrderByIdFromCache
        15      15,429      15,429      15,429          1  cwt_do.cloneOrder
        15          12       1,351           4      1,247  cwt_do.doCatalogTypeConfig.isService
        14      14,989      14,989      14,989          1  cwl_security.getUserPreferenceByKey
        14       2,984       5,884       1,364          5  cwl_om.processScheduledOrder
        13          92         788          55        151  cwt_do.api.orderClassUI.setPOOINotes
        13          90         586          48        150  cwt_do.api.orderClassUI.existsTargetRelation
        13      13,264      13,264      13,264          1  cwl_on.mapDataOrder2ONResponse
        13       2,641      11,653          23          5  api_common.data.object.cwOnStructVisualKey
        12          83       4,861          38        151  dataorder.service.beforeAddOrderItem
        11          13         497           4        828  cwt_do.api.orderClassUI.setExternalIDs
        10          36         394           3        302  cwt_do.api.orderClassUI.getAccountId
        10      10,955      10,955      10,955          1  ui_common.getDefaultPreference
        10          71       3,836          33        151  cwl_on.mapOnExtendedOrderItem2DoOrderItem.action-770072745.cwOnItemConversion
        10      10,446      10,446      10,446          1  cwt_do.api.orderClassUI.onInit
         9       9,505       9,505       9,505          1  ui_common.getDefaultPreferenceData
         9       2,346       3,915         529          4  cwt_do.api.orderClassUI.addRelatedObject
         9           4         155           1      2,153  cwt_do.getEocRelationsHandling
         8           4       1,315           1      2,023  cwt_do.getLogicalItemType
         8          57       4,704          20        152  cwl_on.getRelatedObjectsFromItem
         8       8,433       8,433       8,433          1  cwl_on.mapDO2ONResponseHandler
         8       8,328       8,328       8,328          1  cwt_do.api.orderClassUI.updateItemsAndOrderState
         8          53         763          23        151  cwt_do.setTreeCharacteristics
         8          26         314           2        302  cwt_do.api.orderClassUI.getSiteId
         7           5         377           2      1,558  performanceUtils.getObject
         7           3         466           0      2,175  cwt_dict.isOneOf
         7          10         282           3        775  cwt_do.doCatalogTypeConfig.getProductTypes
         7       1,115       1,368         870          7  cwl_dbqueue.queueListenerThread
         7          50         364          32        151  cwt_do.api.orderClassUI.validateAndSetProductCharacteristics
         7       7,631       7,631       7,631          1  cwt_do.api.orderClassUI.initGlobalVariables
         7          49       2,190          25        151  eoc_commons.validateProductOfferingItem
         7       3,723       7,254         192          2  security.data.userProfile.computeVisualKey
         7           3         339           0      2,138  eoc_commons.isFault
         6           9         461           3        776  performanceUtils.putObject
         6       6,893       6,893       6,893          1  cwl_interface_controller.TmfRestListenerController.onRequestIn
         6           5         184           2      1,247  cwt_do.doCatalogTypeConfig.getServiceTypes
         6         944       1,199         718          7  cwl_dbqueue.getNextMessage
         6          43         470          28        151  cwt_do.api.beforeAddItemHandler
         6       2,109       6,079          70          3  cwt_do.api.mapOrder2OrderInstanceDoc.notes--157140706.cwOnItemConversion
         6           6         129           3        926  cwt_do.api.mapBasketItemDoc2OrderItem.amount--269981095.cwOnItemConversion
         6       6,160       6,160       6,160          1  ui_common.preferenceDefinitionFinder.cwOnFinderSel
         6       3,058       5,940         177          2  api_common.getVisualKey
         6       6,074       6,074       6,074          1  cwl_security.getUserGroups
         5       1,483       3,177         482          4  cwt_do.api.orderClassUI.getRelatedObjects
         5       5,651       5,651       5,651          1  api_common.getDocumentById
         5       2,591       5,150          33          2  cwt_do.orderInstance.cwOnDocStore
         5          34         243          22        151  cwl_on.getRelatedItemsFromItem
         4          31         304          13        151  cwt_do.ClsDataOrderHelperUI.getObjectByGUID
         4          14         827           6        302  cwt_do.api.orderClassUI.getAccount
         4          28         838          17        152  eoc_commons.getResourceURI
         4           0          36           0     24,652  com.conceptwave.system.DataStructure.onInit
         4          13         789           5        302  cwt_do.api.orderClassUI.getSite
         3          24       1,177          13        153  cwt_do.doCatalogTypeConfig.isResource
         3           1         247           0      2,023  cwt_do.ClsDataOrderHelperUI.getConfig
         3           2          83           0      1,542  cwt_do.Constants
         3       3,313       3,313       3,313          1  cwt_do.api.orderClassUI.findRelatedObjects
         3           3          97           1        828  cwt_do.api.orderClassUI.setType
         3          21         276          12        151  cwt_do.ClsDataOrderHelperUI.addParent2ChildIncludeRelation
         3          10         144           2        302  cwt_do.api.orderClassUI.getDefaultCustomerId
         3         380       2,177          90          8  cwt_do.new_cwt_do.dataOrder.cwOnOrdVisualKey
         2           3         124           1        926  cwt_do.api.mapBasketItemDoc2OrderItem.units--412012054.cwOnItemConversion
         2       2,660       2,660       2,660          1  cwl_on.updateReferenceRequestId
         2          17         294          11        151  cwt_do.api.orderClassUI.persistOrderItemRelatedObjects
         2         156         370          58         16  cwt_do.api.orderClassUI.mapRelatedObjectDoc2Structure
         2          16         221          10        150  communityPO_isValid/$g/1368158400
         2       2,299       2,299       2,299          1  on.service.getDataURL
         2          14         398           6        152  cwt_do.ClsDataOrderHelperUI.getBasketContext
         2       2,178       2,178       2,178          1  cwt_do.api.orderClassFactory
         1       1,987       1,987       1,987          1  dataorder.service.getOrderNextState
         1          13         181           8        151  cwt_do.api.orderClassUI.updateProductPrice
         1          11         668           5        151  cwt_do.api.orderClassUI.getRootProductOffering
         1         319       1,586           1          5  api_common.getVisualKeyFromCache
         1         298       1,206          51          5  cwt_do.api.orderClassUI.initDataOrderCollection
         1         701       1,240         161          2  api_common.computeResourceKey
         1       1,389       1,389       1,389          1  cwt_do.api.orderClassUI.fetchRelatedObjects
         1       1,372       1,372       1,372          1  cwl_fullStack.onResourceValidationExHandler
         1           8         166           5        153  cwt_do.doCatalogTypeConfig.getResourceTypes
         1          27         273          15         46  checkAddonPO/$g/1368158400
         1           8         100           5        151  cwl_on.mapOnExtendedOrderItem2DoOrderItem.cwOnMapConv
         1         155         515          56          8  cwt_do._getVisualKey
         1           1         101           0        775  cwt_do.isPerItemUnderPOOI
         1         276       1,056           8          4  cwt_do.siteDoc.cwOnDocVisualKey
         1         528       1,038          19          2  cwl_on.validateField
         1           3         165           0        302  eoc_commons.forEach
         0          69         625           1         14  eoc_commons.jsonToDsArr
         0         243         547          72          4  api_common.loadDocument
         0         965         965         965          1  cwt_do.api.orderClassUI.setBasketContext
         0           3          74           0        302  cwt_do.ClsDataOrderHelperUI.getAccounts
         0           3          79           1        302  cwt_do.ClsDataOrderHelperUI.getSites
         0         842         842         842          1  cwt_do.ClsDataOrderHelperUI.addAccount
         0         839         839         839          1  cwl_interface_controller.TmfRestListenerController.onResponseOut
         0         225         431          21          3  cwt_do.api.orderClassUI.setArrayField
         0         652         652         652          1  on.service.setCatalogContextAttrs
         0         231         363          99          2  cwl_on.createHashRequestID
         0         458         458         458          1  cwt_do.ClsDataOrderHelperUI.addSite
         0          55         114          28          8  cwt_do.orderInstance.cwOnDocInit
         0         215         276         153          2  cwt_do.ClsDataOrderHelperUI.updateSites
         0         430         430         430          1  cwt_do.setDefaultRelatedObjects
         0          45         219          17          9  cwt_do.api.orderClassUI.setField
         0         132         317          31          3  cwt_do.api.mapOrder2OrderInstanceDoc.updatedBy-1311387404.cwOnItemConversion
         0          54         180          15          7  cwt_do.ClsDataOrderHelperUI.getAllItemsInBasket
         0          91         139          40          4  cwt_do.api.orderClassUI.findRelatedObjectInstance
         0          35         340           0         10  api_common.data.object.getCacheableList
         0         177         315          38          2  cwl_on.addDaysFromToday
         0         336         336         336          1  cwtsr_cacheLib.getCachedProductsForCustomer
         0         333         333         333          1  cwl_on.setCustomerMSISDN
         0          83         271          13          4  cwt_do.relatedObject.cwOnDocInit
         0         326         326         326          1  cwt_do.api.getNumberOfBatches
         0         315         315         315          1  cwl_on.lockOrUnlockON
         0          78         201          36          4  cwt_do.relatedObject.cwOnDocStore
         0         152         248          56          2  cwt_do.ClsDataOrderHelperUI.bindCatalog
         0           2         108           1        104  checkOptionalPO/$g/1368158400
         0         149         165         133          2  cwt_do.ClsDataOrderHelperUI.updateAccounts
         0          96         282           3          3  cwt_do.api.mapOrder2OrderInstanceDoc.ordVer--1304809197.cwOnItemConversion
         0         289         289         289          1  cwl_on.setNewOrderStates
         0         284         284         284          1  api_common.isModelExtended
         0         267         267         267          1  cwt_do.api.validateOrderHandler
         0         262         262         262          1  cwl_on.setOrderCatalogTime
         0         259         259         259          1  on.service.setUserLanguage
         0         245         245         245          1  cwl_fullStack.isCBIOFeatureEnabled
         0         239         239         239          1  cwl_interface_controller.TmfRestListenerController.parseQuerystring
         0          45          79          25          5  cwl_om.scheduledOrderProcess.start.loopBack.cwOnDuration
         0         219         219         219          1  cwl_on.setHttpLocationHeader
         0         214         214         214          1  cwt_do.api.getOrderNextStateCore
         0         214         214         214          1  cwl_interface_controller.TmfRestListenerController.parseDynamicValues
         0         205         205         205          1  eoc_commons.validateRelatedPartyHandler
         0          48         160          11          4  cwt_do.relatedObject.cwOnDocLoad
         0           5          26           0         33  api_common.isFault
         0          90         167          12          2  eoc_commons.validateEnum
         0         176         176         176          1  api_common.getStructure
         0         163         163         163          1  api_common.getModelType
         0          52         144           5          3  cwt_do.api.mapOrder2OrderInstanceDoc.relatedOrders--1406557411.cwOnItemConversion
         0          77         142          12          2  cwtsr_cacheLib.createProductsBuffer
         0         147         147         147          1  on.service.validateResponse
         0         133         133         133          1  cwl_on.mapONRequestSC2DataOrder.isBundled-1574160069.cwOnItemConversion
         0         132         132         132          1  on.service.process_response
         0         131         131         131          1  cwt_do.getEocOrderPersistanceHandling
         0          42         121           3          3  cwt_do.api.mapOrder2OrderInstanceDoc.attrs--1024322927.cwOnItemConversion
         0         128         128         128          1  cwt_do.api.orderClassUI.getBasketContext
         0          40         107           6          3  cwt_do.api.mapOrder2OrderInstanceDoc.createdBy-1080670400.cwOnItemConversion
         0         110         110         110          1  cwl_on.mapONRequestSC2DataOrder.isLocked-1478652886.cwOnItemConversion
         0         108         108         108          1  cwt_do.ClsDataOrderHelperUI.setBasketContext
         0         107         107         107          1  cwl_interface_controller.TmfRestListenerController.isApplyFilter
         0         100         100         100          1  cwt_do.doConfig.getLogicalItemTypes
         0          24          86           1          4  cwt_do._getSiteVisualKey
         0          24          90           1          4  api_common.data.object.computeVisualKey
         0          95          95          95          1  cwl_on.expandEntity
         0          23          79           3          4  security.data.userProfile.cwGetStructId
         0          42          82           1          2  cwa_security.userOnInit.Rule1.initializationRuleScript
         0          41          80           2          2  cwa_security.userOnInit.Rule3.initializationRuleScript
         0          41          80           1          2  cwa_security.userOnInit.Rule2.initializationRuleScript
         0          40          77           2          2  cwInit.cwInterfaceDataCacheLoader
         0          22          62           1          3  com.conceptwave.system.UserInterface.onInit
         0          63          63          63          1  cwl_on.setCatalogContextOnSCResponse
         0          30          31          29          2  api_common.getStructureType
         0          56          56          56          1  cwInit.cwResourceCacheLoader
         0          28          54           2          2  cwa_security.userOnInit.Rule4.initializationRuleScript
         0          55          55          55          1  cwl_interface_controller.TmfRestListenerController.onPostOut
         0          50          50          50          1  cwl_interface_controller.TmfRestListenerController.onPostIn
         0           6           7           4          5  api_common.setContext
    -----------------------------------------------------
   144,060         656  16,884,709           0    219,433


 ********* 2018-05-08 13:01:57 Duration: 00:00:23 *********
---------- SCRIPT CALL STACKS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
  millisec    microsec    microsec    microsec
    16,884  16,884,709  16,884,709  16,884,709          1  on.service.onapiJSBinding/createShoppingCart.cwOnJsProvider
    16,812  16,812,665  16,812,665  16,812,665          1  . on.service.createShoppingCart
    16,792  16,792,747  16,792,747  16,792,747          1  . . cwl_on.createShoppingCart
    14,997      99,323   2,440,390      56,311        151  . . . dataorder.service.addOrderItem
    14,991      99,281   2,438,232      56,291        151  . . . . cwt_do.api.addOrderItemHandler
    14,979      99,203   2,432,430      56,263        151  . . . . . cwt_do.api.orderClassUI.addOrderItem
     5,776      38,256     183,732         175        151  . . . . . . cwt_do.api.orderClassUI.createItemRelations
     5,080      33,870     172,652      19,226        150  . . . . . . . cwt_do.ClsDataOrderHelperUI.saveBasket
       645       2,151      66,426         698        300  . . . . . . . cwt_do.refreshPOAfterCreateOIRelation
        14          99         528          57        150  . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
         6          20         292           8        300  . . . . . . . . cwt_do.fixItemRelationId
        13          90         586          48        150  . . . . . . . cwt_do.api.orderClassUI.existsTargetRelation
        11          77         556          40        150  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getTargetRelationsForItem
         4          32         153          17        150  . . . . . . . . . cwt_do.fixItemRelationId
         0           5          91           2        150  . . . . . . . . . cwt_do.getEocRelationsHandling
         1          11         435           4        150  . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectById
     5,424      35,923   2,255,381      12,400        151  . . . . . . cwt_do.api.orderClassUI.addProductOfferingToOrder
     2,484      16,451     940,805       4,343        151  . . . . . . . cwt_do.api.orderClassUI.addPOtoOrder
     2,455      16,258     935,792       4,257        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.addItem
     2,381      15,772     921,409       4,019        151  . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addBasketItem
       378         243       5,798          95      1,550  . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
        67          21       1,277           8      3,100  . . . . . . . . . . . cwt_do.fixItemRelationId
       292         144     152,452          32      2,023  . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalOffer
       287         141     151,360          31      2,023  . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.isItemLogicalType
       248         123     145,631          23      2,023  . . . . . . . . . . . . eoc_commons.getBaseCatalogItemType
        15           7         221           3      2,023  . . . . . . . . . . . . . eoc_commons.Constants
         8           4       1,315           1      2,023  . . . . . . . . . . . . cwt_do.getLogicalItemType
         0         100         100         100          1  . . . . . . . . . . . . . cwt_do.doConfig.getLogicalItemTypes
         3           1         247           0      2,023  . . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getConfig
        72         116         727          61        624  . . . . . . . . . . cwt_do.addIncludeRelation
        62          99         553          53        624  . . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addRelation
        29          23         195           8      1,248  . . . . . . . . . . . . cwt_do.fixItemRelationId
        61      61,351      61,351      61,351          1  . . . . . . . . . . $g$checkBasicPO
        50      50,756      50,756      50,756          1  . . . . . . . . . . . $g$isBasicPO
        59          76       1,772          26        775  . . . . . . . . . . cwt_do.getOwnertPO
        21          10         347           0      2,082  . . . . . . . . . . . eoc_commons.checkBaseCatalogItemType
        18          24         612          14        775  . . . . . . . . . . . cwt_do.getClsCatalogTypes
        33          53         508          29        624  . . . . . . . . . . eoc_commons.getBaseCatalogItemType
         5           8         122           5        624  . . . . . . . . . . . eoc_commons.Constants
        16         112      11,072          25        150  . . . . . . . . . . $g$checkCommunityPO
         2          16         221          10        150  . . . . . . . . . . . $g$communityPO_isValid
         5          33          84          15        151  . . . . . . . . . . cwt_do.getClsCatalogTypes
         3          21         276          12        151  . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.addParent2ChildIncludeRelation
         2          14         398           6        151  . . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getBasketContext
         1          27         273          15         46  . . . . . . . . . . $g$checkAddonPO
         1           8         155           2        151  . . . . . . . . . . cwt_do.getEocRelationsHandling
         0           2         108           1        104  . . . . . . . . . . $g$checkOptionalPO
         0           6          31           3        151  . . . . . . . . . eoc_commons.isFault
         8          55       1,641          20        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectById
         4          31         304          13        151  . . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectByGUID
         0           4          83           1        151  . . . . . . . . cwt_do.Constants
        23         153         504         120        151  . . . . . . . cwt_do.getCatalogHelper
        18         122         284          97        151  . . . . . . . . cwt_do.getClsInterface
         2          16         827           8        151  . . . . . . . cwt_do.api.orderClassUI.getAccount
         0           3          74           2        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAccounts
         2          13         789           6        151  . . . . . . . cwt_do.api.orderClassUI.getSite
         0           3          79           2        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSites
     2,800      18,545      76,032       7,083        151  . . . . . . cwt_do.ClsDataOrderHelperUI.priceBasket
       576       3,815      92,793       1,609        151  . . . . . . cwt_do.api.orderClassUI.mapBasketItemDoc2OrderItem
       274       1,816      65,546         251        151  . . . . . . . cwt_do.api.orderClassUI.findBasketItemCharges
       122         296       7,565          35        414  . . . . . . . . cwt_do.copyChargeAttributes
         0           0          36           0      3,149  . . . . . . . . . com.conceptwave.system.DataStructure.onInit
        88         214       5,736          16        414  . . . . . . . . cwt_do.api.orderClassUI.setNameAndDescription
         7          17         497           5        414  . . . . . . . . cwt_do.api.orderClassUI.setExternalIDs
         2           4          97           1        414  . . . . . . . . cwt_do.api.orderClassUI.setType
         0           0           1           0        414  . . . . . . . . com.conceptwave.system.DataStructure.onInit
       128         852       6,946         490        151  . . . . . . . cwt_do.api.orderClassUI.findBasketItemCharacteristics
         0           0           3           0      1,672  . . . . . . . . com.conceptwave.system.DataStructure.onInit
        50         332       3,179         215        151  . . . . . . . cwt_do.api.orderClassUI.findBasketItemRelations
        18         120         476          82        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getTargetRelationsForItem
         9          64         305          43        151  . . . . . . . . . cwt_do.fixItemRelationId
         1           8          14           6        151  . . . . . . . . . cwt_do.getEocRelationsHandling
         8          57         604          33        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSourceRelationsForItem
         3          21          97          13        151  . . . . . . . . . cwt_do.fixItemRelationId
         0           2           9           1        151  . . . . . . . . . cwt_do.getEocRelationsHandling
         4          15       1,073           4        301  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getObjectById
         0           0           0           0        301  . . . . . . . . com.conceptwave.system.DataStructure.onInit
         8          57         592          38        151  . . . . . . . cwt_do.api.orderClassUI.mapPOOIDocNotesToOrderItem
         8          56         450          38        151  . . . . . . . cwt_do.api.orderClassUI.findRelatedObjectsBySource
         7          50         464          31        151  . . . . . . . eoc_commons.getBaseCatalogItemType
         1          11         260           5        151  . . . . . . . . eoc_commons.Constants
         3          20         101          15        151  . . . . . . . cwt_do.getClsCatalogTypes
         1           9         129           7        151  . . . . . . . cwt_do.api.mapBasketItemDoc2OrderItem.amount--269981095.cwOnItemConversion
         0           4         124           2        151  . . . . . . . cwt_do.api.mapBasketItemDoc2OrderItem.units--412012054.cwOnItemConversion
         0           4          75           2        151  . . . . . . . eoc_commons.checkBaseCatalogItemType
         0           0          16           0        453  . . . . . . . com.conceptwave.system.DataStructure.onInit
       165         214      12,960         100        775  . . . . . . cwt_do.setInitialState
        69          89       5,547          40        775  . . . . . . . cwt_do.getInitialState
        21          28       1,250          14        775  . . . . . . . . cwt_do.getClsCatalogTypes
        17          22       2,051           9        775  . . . . . . . . cwt_do.doCatalogTypeConfig.isProduct
         7          10         282           3        775  . . . . . . . . . cwt_do.doCatalogTypeConfig.getProductTypes
         4           5         195           2        775  . . . . . . . . . cwt_dict.isOneOf
        15          12       1,351           4      1,247  . . . . . . . . cwt_do.doCatalogTypeConfig.isService
         6           5         184           2      1,247  . . . . . . . . . cwt_do.doCatalogTypeConfig.getServiceTypes
         3           2         466           0      1,247  . . . . . . . . . cwt_dict.isOneOf
         3          24       1,177          13        153  . . . . . . . . cwt_do.doCatalogTypeConfig.isResource
         1           8         166           5        153  . . . . . . . . . cwt_do.doCatalogTypeConfig.getResourceTypes
         0           3          46           1        153  . . . . . . . . . cwt_dict.isOneOf
        46          59         356          27        775  . . . . . . . eoc_commons.getBaseCatalogItemType
         7          10         210           4        775  . . . . . . . . eoc_commons.Constants
         1           2          66           1        775  . . . . . . . cwt_do.Constants
        28         186       3,216          96        151  . . . . . . dataorder.service.afterAddOrderItem
        22         150       2,716          79        151  . . . . . . . cwl_fullStack.afterAddItemHandler
        13          92         788          55        151  . . . . . . cwt_do.api.orderClassUI.setPOOINotes
         0           0          26           0        151  . . . . . . . com.conceptwave.system.DataStructure.onInit
        12          83       4,861          38        151  . . . . . . dataorder.service.beforeAddOrderItem
         6          43         470          28        151  . . . . . . . cwt_do.api.beforeAddItemHandler
        10          36         394           3        302  . . . . . . cwt_do.api.orderClassUI.getAccountId
         1          12          55           6        151  . . . . . . . cwt_do.api.orderClassUI.getAccount
         0           2          42           0        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getAccounts
         8          26         314           2        302  . . . . . . cwt_do.api.orderClassUI.getSiteId
         1          12         122           5        151  . . . . . . . cwt_do.api.orderClassUI.getSite
         0           2           9           1        151  . . . . . . . . cwt_do.ClsDataOrderHelperUI.getSites
         7          50         364          32        151  . . . . . . cwt_do.api.orderClassUI.validateAndSetProductCharacteristics
