

 ********* 2018-05-08 13:01:57 Duration: 00:00:23 *********
---------- SCRIPT CALLS ----------
     TOTAL     AVERAGE     LONGEST    SHORTEST      COUNT  ELEMENT
  millisec    microsec    microsec    microsec
    16,884  16,884,709  16,884,709  16,884,709          1  on.service.onapiJSBinding/createShoppingCart.cwOnJsProvider
    16,812  16,812,665  16,812,665  16,812,665          1  on.service.createShoppingCart
    16,792  16,792,747  16,792,747  16,792,747          1  cwl_on.createShoppingCart
    14,997      99,323   2,440,390      56,311        151  dataorder.service.addOrderItem
    14,991      99,281   2,438,232      56,291        151  cwt_do.api.addOrderItemHandler
    14,979      99,203   2,432,430      56,263        151  cwt_do.api.orderClassUI.addOrderItem
     5,776      38,256     183,732         175        151  cwt_do.api.orderClassUI.createItemRelations
     5,424      35,923   2,255,381      12,400        151  cwt_do.api.orderClassUI.addProductOfferingToOrder
     5,172      33,589     172,652       1,182        154  cwt_do.ClsDataOrderHelperUI.saveBasket
     2,837      18,309      76,032          31        155  cwt_do.ClsDataOrderHelperUI.priceBasket
     2,663       2,876     122,878         542        926  cwt_do.api.orderClassUI.mapBasketItemDoc2OrderItem
     2,484      16,451     940,805       4,343        151  cwt_do.api.orderClassUI.addPOtoOrder
     2,455      16,258     935,792       4,257        151  cwt_do.ClsDataOrderHelperUI.addItem
     2,381      15,772     921,409       4,019        151  cwt_do.ClsDataOrderHelperUI.addBasketItem
     2,151     537,896     579,130     475,340          4  cwt_do.api.processBatch
     2,094       2,703     123,176         545        775  cwt_do.api.mapBasketItemDoc2OrderItemWrapper
     1,257       1,358      35,015         144        926  cwt_do.api.orderClassUI.findBasketItemCharacteristics
       667     166,952     632,028       3,475          4  cwt_do.api.orderClassUI.toOrder
       645       2,151      66,426         698        300  cwt_do.refreshPOAfterCreateOIRelation
       644     161,088     630,707         205          4  cwt_do.api.orderClassUI.getOrderItems
       617     617,825     617,825     617,825          1  security.loginJava
       612     612,353     612,353     612,353          1  security.login
       591     591,302     591,302     591,302          1  cwt_do.api.processItemsInBatches
       474     474,258     474,258     474,258          1  security.getUserProfile
       458       1,519      65,546         196        302  cwt_do.api.orderClassUI.findBasketItemCharges
       455         195       5,798          53      2,324  cwt_do.ClsDataOrderHelperUI.addRelation
       448     448,203     448,203     448,203          1  security.getUserProfileByKey
       392          90     145,631          23      4,348  eoc_commons.getBaseCatalogItemType
       382     191,167     284,223      98,110          2  cwt_do.new_cwt_do.dataOrder.getHelper
       380     190,462     284,211      96,713          2  cwt_do.getDOHelper
       349     174,578     283,758      65,398          2  cwt_do.ClsDataOrderHelperUI.initial
       333         360      54,014          70        926  cwt_do.api.orderClassUI.findBasketItemRelations
       331     331,227     331,227     331,227          1  cwl_on.populateONItemsFromDataOrder
       292         144     152,452          32      2,023  cwt_do.ClsDataOrderHelperUI.isItemLogicalOffer
       287         141     151,360          31      2,023  cwt_do.ClsDataOrderHelperUI.isItemLogicalType
       233         282      17,859          15        828  cwt_do.copyChargeAttributes
       229     114,758     217,660      11,856          2  cwt_do.getBasketById
       221      36,965     110,416       6,346          6  api_common.publish
       204     102,494     196,866       8,122          2  cwt_do.readBasketByIdFromCache
       201          30      24,854           8      6,650  cwt_do.fixItemRelationId
       197      49,302      58,614      36,010          4  cwt_do.ClsDataOrderHelperUI.save
       196     196,929     196,929     196,929          1  dataorder.service.createOrder
       192     192,230     192,230     192,230          1  cwt_do.api.createOrderHandler
       177      59,058      68,272      49,694          3  cwt_do.api.orderClassUI.save
       165         214      12,960         100        775  cwt_do.setInitialState
       153     153,756     153,756     153,756          1  cwt_do.createOrderClassInstance
       149     149,471     149,471     149,471          1  cwt_do.api.orderClassUI.loadItemsFromServiceRegistry
       135      27,174      58,754       6,557          5  api_common.executeGet
       134     134,016     134,016     134,016          1  cwt_do.api.orderClassUI.init
       132     132,865     132,865     132,865          1  cwl_security.login
       121     121,343     121,343     121,343          1  cwt_on_cim_ext.getExistingAccountServices
       111         103      12,294          31      1,076  cwt_do.ClsDataOrderHelperUI.getTargetRelationsForItem
       110     110,550     110,550     110,550          1  cwt_sr.getProductHelper
       107     107,771     107,771     107,771          1  cwtsr_Lib.getProduct
       100         120       5,736          15        828  cwt_do.api.orderClassUI.setNameAndDescription
        93      93,091      93,091      93,091          1  cwtsr_Lib.productsFinder.cwOnFinderSel
        80          86      24,905          23        926  cwt_do.ClsDataOrderHelperUI.getSourceRelationsForItem
        76      25,579      59,259       6,590          3  security.getGroupPrivilegesByKey
        72         116         727          61        624  cwt_do.addIncludeRelation
        71          27       3,541          14      2,628  cwt_do.getClsCatalogTypes
